dyadid,org,sidea,sideaid,sideacomponents,sideb,sidebid,sidebcomponents,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,year,bestfatalityestimate,lowfatalityestimate,highfatalityestimate,location,gwnolocation,region,version
2-14041,1,FDC,2021,,FDDH,4314,,2/13/2014,5,2/13/2014,5,0,,0,2014,70,70,70,DR Congo (Zaire),490,4,2.5-2015
2-14044,3,Bani Hilal,5792,,Nubian Dabudiya,5793,,4/3/2014,1,4/6/2014,1,0,,0,2014,28,28,28,Egypt,651,2,2.5-2015
2-14053,3,al-Toubou,3998,,Awlad Suleiman,4371,,1/10/2014,1,1/12/2014,2,0,,0,2014,34,34,40,Libya,620,4,2.5-2015
2-14061,1,Ansar al-Sharia (Libya),4369,,Libyan National Army,5802,,5/16/2014,1,5/16/2014,1,0,,0,2014,910,910,986,Libya,620,4,2.5-2015
2-14088,1,Raia Mutomboki - Bravo,5821,,Raia Mutomboki - Makombo,5822,,10/29/2014,3,10/29/2014,3,0,,0,2014,30,30,30,DR Congo (Zaire),490,4,2.5-2015
2-141,3,Sa'ad subclan of Habar Gidir clan (Hawiye),1540,,Suleiman subclan of Habar Gidir clan (Hawiye),1548,,3/26/1998,1,12/2/2004,2,0,,0,2004,156,156,174,Somalia,520,4,2.5-2015
2-141,3,Sa'ad subclan of Habar Gidir clan (Hawiye),1540,,Suleiman subclan of Habar Gidir clan (Hawiye),1548,,3/26/1998,1,12/2/2004,2,0,,0,2005,103,92,130,Somalia,520,4,2.5-2015
2-141,3,Sa'ad subclan of Habar Gidir clan (Hawiye),1540,,Suleiman subclan of Habar Gidir clan (Hawiye),1548,,3/26/1998,1,12/2/2004,2,1,6/12/2006,1,2006,48,36,72,Somalia,520,4,2.5-2015
2-141,3,Sa'ad subclan of Habar Gidir clan (Hawiye),1540,,Suleiman subclan of Habar Gidir clan (Hawiye),1548,,3/26/1998,1,7/3/2011,1,1,8/28/2011,2,2011,40,30,40,Somalia,520,4,2.5-2015
2-14113,2,Supporters of independence for Eastern Ukraine,5837,,Supporters of Ukrainian unity,5836,,5/2/2014,1,5/2/2014,1,0,,0,2014,45,45,45,Ukraine,369,1,2.5-2015
2-14147,1,TTP-KM,5864,,TTP-SM,5865,,4/6/2014,1,4/8/2014,1,0,,0,2014,128,128,128,Pakistan,770,3,2.5-2015
2-14152,1,IS,1076,,JRTN,4359,,6/2/2014,1,6/20/2014,1,0,,0,2014,64,64,64,Iraq,645,2,2.5-2015
2-14169,1,GATIA,5880,,CMA,5881,,7/13/2014,2,7/13/2014,2,0,,0,2014,46,36,116,Mali,432,4,2.5-2015
2-142,1,Gulf Cartel,1643,,Sinaloa Cartel,1636,,1/19/2004,2,1/19/2004,2,0,,0,2004,38,38,38,Mexico,70,5,2.5-2015
2-142,1,Gulf Cartel,1643,,Sinaloa Cartel,1636,,1/19/2004,2,1/19/2004,2,1,12/31/2005,5,2005,180,180,180,Mexico,70,5,2.5-2015
2-142,1,Gulf Cartel,1643,,Sinaloa Cartel,1636,,1/19/2004,2,9/6/2008,1,0,,0,2008,72,72,81,"Mexico, Guatemala","70, 90",5,2.5-2015
2-142,1,Gulf Cartel,1643,,Sinaloa Cartel,1636,,1/19/2004,2,9/6/2008,1,0,,0,2009,150,150,366,Mexico,70,5,2.5-2015
2-142,1,Gulf Cartel,1643,,Sinaloa Cartel,1636,,1/19/2004,2,9/6/2008,1,1,5/10/2010,1,2010,40,40,44,"Mexico, Honduras","70, 91",5,2.5-2015
2-14251,1,Libya Dawn,5861,,Zintan Brigades,5940,,7/13/2014,1,7/20/2014,1,0,,0,2014,191,191,191,Libya,620,4,2.5-2015
2-14288,3,Bafulero,2116,,"Banyamulenge, Barundi",549025,"3060, 2083",8/15/2013,1,6/6/2014,1,0,,0,2014,35,31,40,DR Congo (Zaire),490,4,2.5-2015
2-143,1,SLM/A,1316,,SLM/A - MM,1318,,11/1/2005,1,11/1/2005,1,0,,0,2005,45,45,45,Sudan,625,4,2.5-2015
2-143,1,SLM/A,1316,,SLM/A - MM,1318,,11/1/2005,1,11/1/2005,1,1,7/7/2006,1,2006,57,57,117,Sudan,625,4,2.5-2015
2-14318,1,anti-Balaka,4201,,UPC,5999,,10/9/2014,1,12/18/2014,2,0,,0,2014,61,61,61,Central African Republic,482,4,2.5-2015
2-14331,3,Eggon,2059,,Gwandere,6001,,4/26/2014,1,4/26/2014,1,0,,0,2014,57,57,57,Nigeria,475,4,2.5-2015
2-14333,1,Gulf Cartel - Dragones de Sheyla faction,6003,,Gulf Cartel - Los Fresitas faction,6002,,4/3/2014,1,5/18/2014,3,0,,0,2014,34,34,55,Mexico,70,5,2.5-2015
2-14336,1,Sinaloa Cartel - Los Chavez Matamoros faction,6008,,Sinaloa Cartel - Los Salgueiro faction,6007,,2/5/2014,1,9/28/2014,1,0,,0,2014,28,28,28,Mexico,70,5,2.5-2015
2-14341,1,IS,1076,,Islamic Front,5575,,12/10/2013,1,1/5/2014,1,0,,0,2014,195,195,195,Syria,652,2,2.5-2015
2-14342,1,IS,1076,,SRF,6011,,1/3/2014,1,1/4/2014,1,0,,0,2014,471,471,763,Syria,652,2,2.5-2015
2-14344,1,IS,1076,,Mujahideen Army,6012,,1/2/2014,1,1/23/2014,1,0,,0,2014,527,527,530,Syria,652,2,2.5-2015
2-14347,1,Jabhat al-Nusra li al-Sham,2057,,SRF,6011,,7/25/2014,3,7/25/2014,3,0,,0,2014,65,65,117,Syria,652,2,2.5-2015
2-14348,1,IS,1076,,"Islamic Front, Mujahideen Army, SRF",565283,"5575, 6012, 6011",1/10/2014,2,1/10/2014,2,0,,0,2014,143,143,143,Syria,652,2,2.5-2015
2-14349,1,Harkat Hazm,6015,,Jabhat al-Nusra li al-Sham,2057,,2/28/2014,1,2/28/2014,1,0,,0,2014,82,82,82,Syria,652,2,2.5-2015
2-14355,1,"IS, Islamic Front, Jabhat al-Nusra li al-Sham",565284,"1076, 2057, 5575",PYD,2100,,1/26/2014,2,1/26/2014,2,0,,0,2014,26,26,26,Syria,652,2,2.5-2015
2-14361,1,IS,1076,,"Islamic Front, Jabhat al-Akrad, Jabhat al-Nusra li al-Sham, Mujahideen Army",565285,"2057, 5575, 5541, 6012",3/12/2014,1,3/12/2014,1,0,,0,2014,130,130,130,Syria,652,2,2.5-2015
2-14367,1,Hezbollah,1209,,"Islamic Battalions, Jabhat al-Nusra li al-Sham",565286,"2057, 6023",2/24/2014,1,3/9/2014,1,0,,0,2014,30,30,30,Syria,652,2,2.5-2015
2-14368,1,Abu al Fadhil al 'Abbas,5556,,"Islamic Battalions, Jabhat al-Nusra li al-Sham",565286,"2057, 6023",1/15/2014,1,2/24/2014,1,0,,0,2014,33,33,33,Syria,652,2,2.5-2015
2-14369,1,IS,1076,,"Islamic Front, Jabhat Al-Kurd brigade, Jabhat al-Nusra li al-Sham, Mujahideen Army",565287,"2057, 5575, 6035, 6012",1/31/2014,1,2/8/2014,1,0,,0,2014,142,141,141,Syria,652,2,2.5-2015
2-14374,1,IS,1076,,"Islamic Front, Jabhat al-Nusra li al-Sham",565288,"2057, 5575",1/6/2014,1,1/7/2014,2,0,,0,2014,1197,1189,1195,Syria,652,2,2.5-2015
2-14379,1,IS,1076,,"Islamic Front, Mujahideen Army",565289,"5575, 6012",1/6/2014,2,1/7/2014,2,0,,0,2014,38,38,38,Syria,652,2,2.5-2015
2-14393,1,IS,1076,,"Islamic Front, Jabhat al-Nusra li al-Sham, Mujahideen Army",565290,"2057, 5575, 6012",2/9/2014,1,2/10/2014,1,0,,0,2014,284,292,288,Syria,652,2,2.5-2015
2-14397,1,IS,1076,,"Islamic Front, Mujahideen Army, SRF, PYD",565291,"5575, 6011, 2100, 6012",1/29/2014,1,1/30/2014,1,0,,0,2014,27,27,25,Syria,652,2,2.5-2015
2-144,3,Rer Ahmad subclan (Hawiye),1543,,Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),1544,,5/8/2004,1,5/31/2004,1,1,6/2/2004,1,2004,69,69,90,"Kenya, Somalia","501, 520",4,2.5-2015
2-146,1,RCSS,1098,,UWSA,1207,,3/18/2001,1,4/15/2005,2,1,4/26/2005,1,2005,110,102,140,Myanmar (Burma),775,3,2.5-2015
2-147,3,Sa'ad subclan of Habar Gidir clan (Hawiye),1540,,Saleban-Abdalla subclan of Majerteen clan (Darod),2006,,7/9/2003,2,7/9/2003,2,1,7/9/2003,2,2003,28,25,40,Somalia,520,4,2.5-2015
2-148,3,Tama,1492,,Zaghawa,1566,,3/19/2006,2,7/4/2006,1,0,,0,2006,74,74,74,Chad,483,4,2.5-2015
2-148,3,Tama,1492,,Zaghawa,1566,,3/19/2006,2,7/4/2006,1,1,10/15/2007,2,2007,126,126,156,Chad,483,4,2.5-2015
2-149,1,Tijuana Cartel,1660,,Tijuana Cartel - El Teo faction,1661,,2/12/2008,1,9/29/2008,1,0,,0,2008,185,185,244,Mexico,70,5,2.5-2015
2-149,1,Tijuana Cartel,1660,,Tijuana Cartel - El Teo faction,1661,,2/12/2008,1,9/29/2008,1,0,,0,2009,47,47,66,Mexico,70,5,2.5-2015
2-149,1,Tijuana Cartel,1660,,Tijuana Cartel - El Teo faction,1661,,2/12/2008,1,9/29/2008,1,1,10/24/2010,1,2010,54,54,83,Mexico,70,5,2.5-2015
15-Feb,2,Supporters of ANPP,1434,,Supporters of PDP,1527,,10/31/1998,3,4/12/2003,1,0,,0,2003,66,66,82,Nigeria,475,4,2.5-2015
15-Feb,2,Supporters of ANPP,1434,,Supporters of PDP,1527,,10/31/1998,3,4/12/2003,1,1,5/28/2004,1,2004,439,439,458,Nigeria,475,4,2.5-2015
2-150,3,Toposa,1553,,Turkana,1554,,10/31/1992,3,10/31/1992,3,1,10/31/1992,3,1992,200,200,200,Sudan,625,4,2.5-2015
2-150,3,Toposa,1553,,Turkana,1554,,10/31/1992,3,8/29/2008,1,1,8/31/2008,1,2008,25,25,33,Kenya,501,4,2.5-2015
2-150,3,Toposa,1553,,Turkana,1554,,10/31/1992,3,6/12/2011,2,1,6/17/2011,1,2011,47,47,47,"Kenya, Sudan","501, 625",4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,12/3/2013,3,0,,0,2013,28,27,30,Kenya,501,4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,12/3/2013,3,0,,0,2014,45,44,73,Kenya,501,4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,12/5/1995,2,1,12/5/1995,2,1995,44,44,44,Kenya,501,4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,3/31/1999,3,1,6/26/1999,2,1999,115,54,115,Kenya,501,4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,1/22/2005,1,0,,0,2005,28,28,28,Kenya,501,4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,1/22/2005,1,1,12/29/2006,1,2006,34,33,39,"Kenya, Uganda","501, 500",4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,8/5/2008,2,1,9/3/2008,1,2008,88,88,128,"Kenya, Uganda","501, 500",4,2.5-2015
2-151,3,Pokot,1529,,Turkana,1554,,12/5/1995,2,8/17/2010,1,1,11/25/2010,1,2010,55,55,56,Kenya,501,4,2.5-2015
2-152,1,USC/SSA,1352,,USC/SSA - OMF,1559,,12/27/2001,2,12/27/2001,2,0,,0,2001,34,17,34,Somalia,520,4,2.5-2015
2-152,1,USC/SSA,1352,,USC/SSA - OMF,1559,,12/27/2001,2,12/27/2001,2,0,,0,2002,62,62,77,Somalia,520,4,2.5-2015
2-152,1,USC/SSA,1352,,USC/SSA - OMF,1559,,12/27/2001,2,12/27/2001,2,1,11/23/2003,2,2003,72,72,89,Somalia,520,4,2.5-2015
2-153,3,Ma'aliyah,1498,,Zaghawa,1566,,10/10/2008,3,10/10/2008,3,1,10/10/2008,3,2008,41,41,51,Sudan,625,4,2.5-2015
2-154,1,Harakat-i Inqilab-i Islami-yi Afghanistan,1135,,Ittihad-i Islami Bara-yi Azadi-yi Afghanistan,1139,,8/29/1989,3,8/29/1989,3,1,8/29/1989,3,1989,70,70,80,Afghanistan,700,3,2.5-2015
2-155,1,Hizb-i Wahdat,1142,,Hizb-i Wahdat - Akbari faction,1662,,5/29/1994,1,12/21/1996,2,1,12/21/1996,2,1996,25,25,25,Afghanistan,700,3,2.5-2015
2-155,1,Hizb-i Wahdat,1142,,Hizb-i Wahdat - Akbari faction,1662,,5/29/1994,1,7/20/2003,5,1,7/28/2003,1,2003,59,59,67,Afghanistan,700,3,2.5-2015
2-156,1,Hizb-i Islami-yi Afghanistan,1141,,Hizb-i Wahdat,1142,,7/9/1994,1,7/9/1994,1,1,7/9/1994,1,1994,25,25,25,Afghanistan,700,3,2.5-2015
2-157,1,Hizb-i Islami-yi Afghanistan,1141,,Jamiat-ul-Dawa,1663,,8/25/1991,2,8/27/1991,2,1,11/2/1991,1,1991,51,51,51,Afghanistan,700,3,2.5-2015
2-158,1,Hizb-i Islami-yi Afghanistan,1141,,Jam'iyyat-i Islami-yi Afghanistan,1134,,5/10/1989,2,7/9/1989,1,0,,0,1989,167,167,511,Afghanistan,700,3,2.5-2015
2-158,1,Hizb-i Islami-yi Afghanistan,1141,,Jam'iyyat-i Islami-yi Afghanistan,1134,,5/10/1989,2,7/9/1989,1,0,,0,1990,36,36,36,Afghanistan,700,3,2.5-2015
2-158,1,Hizb-i Islami-yi Afghanistan,1141,,Jam'iyyat-i Islami-yi Afghanistan,1134,,5/10/1989,2,7/9/1989,1,1,7/31/1991,3,1991,200,200,200,Afghanistan,700,3,2.5-2015
2-159,1,Hizb-i Islami-yi Afghanistan,1141,,Junbish-i Milli-yi Islami,1144,,12/28/1993,2,4/20/1994,2,1,4/20/1994,2,1994,27,27,27,Afghanistan,700,3,2.5-2015
2-159,1,Hizb-i Islami-yi Afghanistan,1141,,Junbish-i Milli-yi Islami,1144,,12/28/1993,2,3/3/1996,2,1,3/3/1996,2,1996,200,20,200,Afghanistan,700,3,2.5-2015
16-Feb,1,Ansaar ul-Islam,1243,,Lashkar-e-Islam,1244,,3/16/2007,1,5/30/2007,1,0,,0,2007,34,34,50,Pakistan,770,3,2.5-2015
16-Feb,1,Ansaar ul-Islam,1243,,Lashkar-e-Islam,1244,,3/16/2007,1,5/30/2007,1,0,,0,2008,88,88,177,Pakistan,770,3,2.5-2015
16-Feb,1,Ansaar ul-Islam,1243,,Lashkar-e-Islam,1244,,3/16/2007,1,5/30/2007,1,1,12/26/2009,2,2009,48,48,48,Pakistan,770,3,2.5-2015
2-160,1,Hizb-i Islami-yi Afghanistan,1141,,Taleban,1146,,10/12/1994,1,11/5/1994,2,0,,0,1994,66,16,66,Afghanistan,700,3,2.5-2015
2-160,1,Hizb-i Islami-yi Afghanistan,1141,,Taleban,1146,,10/12/1994,1,11/5/1994,2,1,2/13/1995,2,1995,42,42,202,Afghanistan,700,3,2.5-2015
2-160,1,Hizb-i Islami-yi Afghanistan,1141,,Taleban,1146,,10/12/1994,1,3/7/2010,2,0,,0,2010,99,99,99,Afghanistan,700,3,2.5-2015
2-160,1,Hizb-i Islami-yi Afghanistan,1141,,Taleban,1146,,10/12/1994,1,3/7/2010,2,1,9/17/2011,1,2011,25,25,27,Afghanistan,700,3,2.5-2015
2-161,1,Jam'iyyat-i Islami-yi Afghanistan,1134,,Junbish-i Milli-yi Islami,1144,,12/9/1992,2,12/9/1992,2,1,12/22/1992,2,1992,90,90,90,Afghanistan,700,3,2.5-2015
2-161,1,Jam'iyyat-i Islami-yi Afghanistan,1134,,Junbish-i Milli-yi Islami,1144,,12/9/1992,2,2/3/2002,2,0,,0,2002,136,136,156,Afghanistan,700,3,2.5-2015
2-161,1,Jam'iyyat-i Islami-yi Afghanistan,1134,,Junbish-i Milli-yi Islami,1144,,12/9/1992,2,2/3/2002,2,1,11/2/2003,2,2003,158,94,180,Afghanistan,700,3,2.5-2015
2-162,1,Jam'iyyat-i Islami-yi Afghanistan,1134,,Mahaz-i Milli-yi Islami-yi Afghanistan ,1138,,2/3/1996,2,2/3/1996,2,1,2/3/1996,2,1996,100,100,100,Afghanistan,700,3,2.5-2015
2-163,1,Jam'iyyat-i Islami-yi Afghanistan,1134,,Shura-yi Nazar-i Shomali,1664,,12/26/1995,2,12/26/1995,2,1,12/26/1995,2,1995,25,25,25,Afghanistan,700,3,2.5-2015
2-164,1,GIA - El Ahd Battalion,1770,,GIA - El Khadra Battalion,1905,,4/26/1998,1,4/26/1998,1,1,4/26/1998,1,1998,62,62,62,Algeria,615,4,2.5-2015
2-165,1,GIA - El Forkane,1771,,GIA - El Khadra Battalion,1905,,6/9/1998,1,6/9/1998,1,1,6/9/1998,1,1998,56,56,56,Algeria,615,4,2.5-2015
2-166,1,AIS,1389,,GIA,1390,,2/6/1994,1,4/27/1995,3,1,5/16/1995,3,1995,51,51,64,Algeria,615,4,2.5-2015
2-166,1,AIS,1389,,GIA,1390,,2/6/1994,1,12/2/1997,2,0,,0,1997,250,250,250,Algeria,615,4,2.5-2015
2-166,1,AIS,1389,,GIA,1390,,2/6/1994,1,12/2/1997,2,1,12/30/1998,1,1998,25,25,25,Algeria,615,4,2.5-2015
2-168,1,BCP,1665,,PBCP,1666,,1/17/1993,1,5/15/1993,1,1,5/15/1993,1,1993,27,27,30,Bangladesh,771,3,2.5-2015
2-169,3,Laime,1668,,Qaqachaca,1667,,1/26/1998,1,1/25/2000,1,1,7/8/2000,1,2000,50,46,50,Bolivia,145,5,2.5-2015
17-Feb,1,Ansar al-Islam,1075,,PUK,1103,,9/23/2001,1,7/8/2002,1,0,,0,2002,85,85,160,Iraq,645,2,2.5-2015
17-Feb,1,Ansar al-Islam,1075,,PUK,1103,,9/23/2001,1,7/8/2002,1,0,,0,2003,416,412,466,Iraq,645,2,2.5-2015
17-Feb,1,Ansar al-Islam,1075,,PUK,1103,,9/23/2001,1,7/8/2002,1,1,12/4/2004,1,2004,126,117,165,Iraq,645,2,2.5-2015
2-170,1,ALiR,2013,,Palipehutu-FNL,1278,,2/12/2000,3,2/12/2000,3,1,2/12/2000,3,2000,100,100,300,Burundi,516,4,2.5-2015
2-171,3,Bafanji,1772,,Balikumbat ,1773,,2/28/1998,3,2/28/1998,3,1,3/25/1998,2,1998,51,51,60,Cameroon,471,4,2.5-2015
2-172,3,Banya,1774,,"Foulbe, Hausa",547101,"1775, 1462",7/17/1991,2,7/17/1991,2,1,7/17/1991,2,1991,50,9,100,Cameroon,471,4,2.5-2015
2-173,3,Choa Arab,1777,,Kotoko,1776,,1/30/1992,2,11/15/1992,2,0,,0,1992,25,25,110,Cameroon,471,4,2.5-2015
2-173,3,Choa Arab,1777,,Kotoko,1776,,1/30/1992,2,11/15/1992,2,0,,0,1993,47,32,69,Cameroon,471,4,2.5-2015
2-173,3,Choa Arab,1777,,Kotoko,1776,,1/30/1992,2,11/15/1992,2,1,3/26/1994,2,1994,34,30,34,Cameroon,471,4,2.5-2015
2-174,1,Hells Angels,1669,,Rock Machine,1670,,10/20/1994,1,12/31/1995,5,1,12/31/1995,5,1995,25,25,25,"Mexico, Canada","70, 20",5,2.5-2015
2-174,1,Hells Angels,1669,,Rock Machine,1670,,10/20/1994,1,12/31/1995,5,1,12/31/1998,5,1998,27,27,27,Canada,20,5,2.5-2015
2-176,3,Khozam  ,1781,,Oulad Rachid,1780,,11/21/2000,1,11/21/2000,1,1,11/28/2000,1,2000,72,72,72,Chad,483,4,2.5-2015
2-177,1,AUC,1632,,ELN,1605,,5/30/1997,2,7/21/2000,2,0,,0,2000,35,35,143,Colombia,100,5,2.5-2015
2-177,1,AUC,1632,,ELN,1605,,5/30/1997,2,7/21/2000,2,1,10/30/2001,1,2001,40,40,40,Colombia,100,5,2.5-2015
2-178,1,Cali Cartel,1671,,Medellín Cartel,1635,,5/3/1990,1,10/25/1990,1,1,10/25/1990,1,1990,32,32,46,Colombia,100,5,2.5-2015
2-179,1,Medellín Cartel,1635,,PEPES,1672,,2/5/1993,2,2/5/1993,2,1,6/2/1993,1,1993,45,45,45,Colombia,100,5,2.5-2015
18-Feb,3,Anuak,1435,,Dinka ,1452,,11/27/2002,1,11/27/2002,1,1,12/1/2002,2,2002,41,41,41,Ethiopia,530,4,2.5-2015
2-180,1,MPA/Republic of Anjouan,1397,,MPA - SOC,1782,,12/6/1998,2,12/8/1998,2,1,12/8/1998,2,1998,40,40,60,Comoros,581,4,2.5-2015
2-181,1,AFDL,1268,,ALiR,2013,,1/10/1997,1,3/20/1997,2,1,3/20/1997,2,1997,120,120,120,DR Congo (Zaire),490,4,2.5-2015
2-182,1,AFDL,1268,,Mayi Mayi,1505,,11/5/1996,1,1/3/1997,1,1,1/3/1997,1,1997,33,33,33,DR Congo (Zaire),490,4,2.5-2015
2-183,3,Hunde,1783,,Hutu,1784,,4/30/1993,3,4/30/1993,3,1,9/7/1993,1,1993,157,157,157,DR Congo (Zaire),490,4,2.5-2015
2-183,3,Hunde,1783,,Hutu,1784,,4/30/1993,3,6/9/1995,2,0,,0,1995,465,465,465,DR Congo (Zaire),490,4,2.5-2015
2-183,3,Hunde,1783,,Hutu,1784,,4/30/1993,3,6/9/1995,2,1,10/21/1996,5,1996,119,119,1326,DR Congo (Zaire),490,4,2.5-2015
2-184,3,Banyarwanda,1958,,"Hunde, Nyanga",549016,"1783, 1943",3/21/1993,1,3/21/1993,1,0,,0,1993,3051,351,6051,DR Congo (Zaire),490,4,2.5-2015
2-184,3,Banyarwanda,1958,,"Hunde, Nyanga",549016,"1783, 1943",3/21/1993,1,3/21/1993,1,1,12/31/1994,5,1994,146,146,4000,DR Congo (Zaire),490,4,2.5-2015
2-188,1,"CNDD-FDD, Mayi-Mayi  ",549010,"1505, 1280",RCD,1270,,4/13/2000,3,4/13/2000,3,1,5/15/2000,1,2000,97,70,97,DR Congo (Zaire),490,4,2.5-2015
2-189,1,"ALiR, CNDD-FDD , Mayi Mayi",549024,"1280, 1505, 2013",RCD,1270,,1/31/1999,3,1/31/1999,3,0,,0,1999,91,44,91,DR Congo (Zaire),490,4,2.5-2015
2-189,1,"ALiR, CNDD-FDD , Mayi Mayi",549024,"1280, 1505, 2013",RCD,1270,,1/31/1999,3,1/31/1999,3,1,4/7/2000,2,2000,30,30,30,DR Congo (Zaire),490,4,2.5-2015
19-Feb,3,Anuak,1435,,Nuer,1519,,7/7/2002,1,7/7/2002,1,0,,0,2002,101,101,106,Ethiopia,530,4,2.5-2015
19-Feb,3,Anuak,1435,,Nuer,1519,,7/7/2002,1,7/7/2002,1,1,12/14/2003,2,2003,36,36,106,Ethiopia,530,4,2.5-2015
2-190,1,RCD-ML ,1271,,RCD-K-ML ,1650,,11/5/2000,2,11/15/2000,2,1,11/15/2000,2,2000,43,43,50,DR Congo (Zaire),490,4,2.5-2015
2-191,1,Mayi Mayi,1505,,RCD-ML ,1271,,11/14/1999,1,11/14/1999,1,1,11/25/1999,2,1999,80,80,173,DR Congo (Zaire),490,4,2.5-2015
2-193,3,Amhara,1785,,Oromo,1523,,3/31/1989,3,11/14/1991,2,1,11/14/1991,2,1991,25,25,61,Ethiopia,530,4,2.5-2015
2-193,3,Amhara,1785,,Oromo,1523,,3/31/1989,3,11/30/2000,3,0,,0,2000,108,108,108,Ethiopia,530,4,2.5-2015
2-193,3,Amhara,1785,,Oromo,1523,,3/31/1989,3,11/30/2000,3,1,3/31/2001,5,2001,100,100,100,Ethiopia,530,4,2.5-2015
2-194,3,Arbore,1786,,Borana,1445,,6/18/1992,1,6/18/1992,1,1,6/18/1992,1,1992,317,317,317,Ethiopia,530,4,2.5-2015
2-195,3,Borana,1445,,Degodia,1787,,12/31/1992,5,12/31/1992,5,1,12/31/1992,5,1992,51,51,51,Ethiopia,530,4,2.5-2015
2-195,3,Borana,1445,,Degodia,1787,,12/31/1992,5,10/26/1998,2,1,12/31/1998,5,1998,225,225,362,"Ethiopia, Kenya","530, 501",4,2.5-2015
2-195,3,Borana,1445,,Degodia,1787,,12/31/1992,5,5/20/2000,3,1,5/20/2000,3,2000,65,65,65,Ethiopia,530,4,2.5-2015
2-197,3,Borana,1445,,Garre,1963,,7/15/2000,5,9/30/2000,3,0,,0,2000,68,68,68,Ethiopia,530,4,2.5-2015
2-197,3,Borana,1445,,Garre,1963,,7/15/2000,5,9/30/2000,3,1,12/31/2001,3,2001,93,93,93,Ethiopia,530,4,2.5-2015
2-197,3,Borana,1445,,Garre,1963,,7/15/2000,5,2/6/2009,1,1,5/24/2009,1,2009,34,34,34,Ethiopia,530,4,2.5-2015
2-198,3,"Borana, Guji",553001,"1445, 1467",Garre,1963,,9/7/2000,1,9/7/2000,1,0,,0,2000,72,72,72,Ethiopia,530,4,2.5-2015
2-198,3,"Borana, Guji",553001,"1445, 1467",Garre,1963,,9/7/2000,1,9/7/2000,1,1,11/30/2001,3,2001,31,31,31,Ethiopia,530,4,2.5-2015
2-199,3,Derashe,1788,,Zeyle,1789,,11/23/2001,2,11/23/2001,2,1,11/23/2001,2,2001,40,40,40,Ethiopia,530,4,2.5-2015
2-Feb,3,Abgal clan (Hawiye),1907,,Xawaadle clan (Hawiye),1758,,1/9/2008,1,9/12/2008,2,1,12/26/2008,2,2008,31,31,55,Somalia,520,4,2.5-2015
20-Feb,3,Agar Dinka,1436,,Gok Dinka,1437,,7/18/2006,2,7/18/2006,2,1,7/18/2006,2,2006,60,60,60,Sudan,625,4,2.5-2015
2-200,3,Gedeo,1790,,Guji,1467,,12/31/1995,5,12/31/1995,5,1,12/31/1995,5,1995,1000,1000,1000,Ethiopia,530,4,2.5-2015
2-200,3,Gedeo,1790,,Guji,1467,,12/31/1995,5,7/22/1998,1,1,7/22/1998,1,1998,700,140,700,Ethiopia,530,4,2.5-2015
2-202,3,Rer Liban subclan (Issaq),1791,,Rer Samatar subclan of Habr Awal (Issaq),1792,,6/30/1992,3,6/30/1992,3,1,6/30/1992,3,1992,100,100,100,Ethiopia,530,4,2.5-2015
2-203,1,"Forest Brothers, White Legion",537201,"1673, 1674",Republic of Abkhazia,1185,,5/18/1998,1,5/20/1998,1,1,5/23/1998,1,1998,38,38,66,Georgia,372,1,2.5-2015
2-204,1,Republic of Abkhazia,1185,,White Legion,1674,,7/8/1997,1,12/24/1997,1,1,12/24/1997,1,1997,26,26,36,Georgia,372,1,2.5-2015
2-205,3,Gonja,1944,,"Konkomba, Nawuri",545202,"1945, 1946",6/25/1991,2,6/25/1991,2,0,,0,1991,30,30,52,Ghana,452,4,2.5-2015
2-205,3,Gonja,1944,,"Konkomba, Nawuri",545202,"1945, 1946",6/25/1991,2,6/25/1991,2,1,5/25/1992,2,1992,63,63,80,Ghana,452,4,2.5-2015
2-208,3,"Dagomba, Gonja, Nanumba",545201,"1948, 1944, 1947",Konkomba,1946,,1/31/1993,3,2/3/1994,1,0,,0,1994,2004,1004,10024,Ghana,452,4,2.5-2015
2-208,3,"Dagomba, Gonja, Nanumba",545201,"1948, 1944, 1947",Konkomba,1946,,1/31/1993,3,2/3/1994,1,1,4/23/1995,1,1995,155,155,172,Ghana,452,4,2.5-2015
2-209,3,Torma,1955,,Torma Manian,1956,,1/3/2000,1,1/3/2000,1,1,1/3/2000,1,2000,31,31,34,Guinea,438,4,2.5-2015
21-Feb,1,ARPCT,1438,,ARS/UIC,1355,,2/18/2006,1,2/21/2006,1,1,8/30/2006,1,2006,562,532,636,Somalia,520,4,2.5-2015
2-210,3,Bodo,1675,,Santhal,1676,,5/16/1996,2,5/18/1996,2,1,8/6/1996,1,1996,185,185,216,India,750,3,2.5-2015
